Assignment Title	Hyperlink Title     Zoom Link
CSCI-10A-Video-Links-F25	Course Overview	https://mpc-edu.zoom.us/rec/share/5pwcsWnX5Xo9xc5VAbQqNLVpBnbFiaEmZT11YUQjOM0LTy8eQoyVFnJL_hJH_SSp.zDxJCEDE_oB0W6Ti?startTime=1755626148000
CSCI-10A-Video-Links-F25	Lec 1A - Hello World in BlueJ - Errors and Debugging	https://mpc-edu.zoom.us/rec/share/5pwcsWnX5Xo9xc5VAbQqNLVpBnbFiaEmZT11YUQjOM0LTy8eQoyVFnJL_hJH_SSp.zDxJCEDE_oB0W6Ti?startTime=1755628193000
CSCI-10A-Video-Links-F25	Lec1B- More printing, Variables, Date.java setup,	https://mpc-edu.zoom.us/rec/share/uo9Nf7hVRQgX70xJIy6_P5S7UuJXluK1eYwljg6SSgwSURZQszTTIKpDfrKY8fUY.H0P4h_iIzev5xqpn?startTime=1755797809000
CSCI-10A-Video-Links-F25	Lec 2 - Numeric Types, Lab Problem 1	https://mpc-edu.zoom.us/rec/share/zo7RgIQjlpxwJ9ksnF-O0nufUIeoFlV-dMaYR9Eo9OZXGTDvZleilZrXCwtbvHJ-.pNkk9h57pNnxUcOf?startTime=1756230008000
CSCI-10A-Video-Links-F25	Assessment Drills and Q&A Discussion Posts	https://mpc-edu.zoom.us/rec/share/zo7RgIQjlpxwJ9ksnF-O0nufUIeoFlV-dMaYR9Eo9OZXGTDvZleilZrXCwtbvHJ-.pNkk9h57pNnxUcOf?startTime=1756238423000
CSCI-10A-Video-Links-F25	Lec 2 - Methods, Stack Diagrams, Problems 2-6	https://mpc-edu.zoom.us/rec/share/k-7KPJRnU1pEHxkTMj6BAxx3ZuyKw5npcsjY44N8Ox7AynzuFQpNtptBWgQDaDyF.b728OYh58k4wVohS?startTime=1756402672000
CSCI-10A-Video-Links-F25	Lec 3 - Modulus Operator, Conditionals, Scanner	https://mpc-edu.zoom.us/rec/share/1IfTYXmL_pHkn24sCUVamJ2e4bna7YIfozUMadKpDBs76Wv-YjiV-rKcGiyNhEVL.9aLBx-WX-VuWQJ1r?startTime=1756834783000
CSCI-10A-Video-Links-F25	Lec 3 - Recursion	https://mpc-edu.zoom.us/rec/share/3y6cYDtlMFZF4iXt37Iw2XOF--hj_euI7u-9aQblBoR_digvOzZcFiqpx5T099aP.-rTNX3ekEtIg4yKn?startTime=1757007230000
CSCI-10A-Video-Links-F25	Lec 4 GridWorld	https://mpc-edu.zoom.us/rec/share/zsiUNvRUzZ4mhI4H3gr3gipTomiLVhjv8G-UA9TnN38rhQPYElKm35sE6qnDi3N_.N4NHguZHpKXgg8GD
CSCI-10A-Video-Links-F25	Lec 5 - Value Returning Methods and Logical Operators	https://mpc-edu.zoom.us/rec/share/ek-zZD77E2JAwllAXePvwGY6xpQkh32bwZqu7P06iio8l_waRb2e6pttQUkNygF3.6ZyYSqb6uMA7UYP_
CSCI-10A-Video-Links-F25	Recursive Value Returning Methods + Review of Practice Test	https://mpc-edu.zoom.us/rec/play/FR_0sSxpidqX58h3MSgU01ogC5-Wa5hYbs60Db0He9e16sAA2SLEuRPQBxHbRjGiM9sFQ2Cgnu4FSjxf.wqEV-lVM3YvhzIVo?eagerLoadZvaPages=sidemenu.billing.plan_management&accessLevel=meeting&canPlayFromShare=true&from=share_recording_detail&continueMode=true&componentName=rec-play&originRequestUrl=https%3A%2F%2Fmpc-edu.zoom.us%2Frec%2Fshare%2FoJgwAdsT7JvYLQf1B4pk80ugMsHMbnBprq7Qdxh63JnXshHXBJxkx1E-odJGcQ.w0bC4DFD8QvcZwmw
CSCI-10A-Video-Links-F25	Lec 6 - Intro to Loops - Sandwich Problem	https://mpc-edu.zoom.us/rec/share/skqbADy19HhiLIGfhzX_hiD-sCEiDerg62TkFV4gDohprfNBeeR8Ew8MCVIvEdfN.STYge9pZaWQrZMeg?startTime=1758222411000
CSCI-10A-Video-Links-F25	Lec 6 - Loops part 2 - Counting and Summing - Grocery Checko	https://mpc-edu.zoom.us/rec/share/XjeTmM_WSpBjDfhW5PQdmS_gHwlcZOj27Z-ljdgqK1-uFX2X7uS-LSoGnkRF2h4.0LL062_YPVFXiM0Y?startTime=1758650424000
CSCI-10A-Video-Links-F25	Test 1 Solutions and Replacement Questions	https://mpc-edu.zoom.us/rec/share/XjeTmM_WSpBjDfhW5PQdmS_gHwlcZOj27Z-ljdgqK1-uFX2X7uS-LSoGnkRF2h4.0LL062_YPVFXiM0Y?startTime=1758649345000
CSCI-10A-Video-Links-F25	Lec 7 - Strings and things - Word Of Fortune	https://mpc-edu.zoom.us/rec/play/pEOQrl3GqLqkeAJJe1N7b-0bkp621ZqczE45rPXXIREmXWDo2E1FZnON5NG7_reKP54QHytPMUu4w06W.ZeSfvNiSMDkhWso1?eagerLoadZvaPages=sidemenu.billing.plan_management&accessLevel=meeting&canPlayFromShare=true&from=share_recording_detail&continueMode=true&componentName=rec-play&originRequestUrl=https%3A%2F%2Fmpc-edu.zoom.us%2Frec%2Fshare%2F43xBOaemrM2vDxrFHx-Q4-H5HkbFQ3Ud7_VtTh-faPkWNXAhKAGIKpAxlbFzbWlO.FsXl9g3TtD7Lp27N
CSCI-10A-Video-Links-F25	Lec 7 - More String methods, CodingBat Strings	https://mpc-edu.zoom.us/rec/share/TTZL384wWw0rQQpNXFuov9TTDfqWnMWH7r9QvSYAnwnA_rnQIAd8cFYuelbViJSx.xVWwsWxzzJgFKi0k?startTime=1759254547000
CSCI-10A-Video-Links-F25	Lec 8 - Mutable Objects - Points and Rectangles, tracing cod	https://mpc-edu.zoom.us/rec/share/A70xWkOS6MMxvY-uUfuUQTPvWPzhrMHZYbGZuGcErUpvpnBMRQ2XxCztU3yXdaGh.xY0ihG34pPrRg7Tf?startTime=1759427140000
